"task_id","category","difficulty","diffusion_result","diffusion_seconds","diffusion_status","diffusion_model_calls","diffusion_exit","nemotron_result","nemotron_seconds","nemotron_status","seconds_delta","diffusion_over_nemotron"
"cvdp_agentic_64b66b_codec_0001","cid005","medium","fail",371.143,"completed",32,"Submitted","fail",183.04,"completed",188.103,2.0277
"cvdp_agentic_AES_encryption_decryption_0003","cid016","medium","fail",1154.005,"completed",60,"LimitsExceeded","fail",2861.755,"completed",-1707.75,0.4033
"cvdp_agentic_AES_encryption_decryption_0005","cid016","medium","fail",2330.937,"completed",60,"LimitsExceeded","fail",1415.84,"completed",915.097,1.6463
"cvdp_agentic_AES_encryption_decryption_0009","cid004","medium","fail",1805.827,"completed",60,"LimitsExceeded","fail",3600.206,"timeout",-1794.379,0.5016
"cvdp_agentic_AES_encryption_decryption_0012","cid004","hard","fail",2472.172,"completed",60,"LimitsExceeded","fail",3600.197,"timeout",-1128.025,0.6867
"cvdp_agentic_AES_encryption_decryption_0018","cid005","hard","fail",1302.579,"completed",60,"LimitsExceeded","fail",942.855,"completed",359.724,1.3815
"cvdp_agentic_DES_0001","cid003","hard","fail",1161.106,"completed",60,"LimitsExceeded","fail",2695.37,"completed",-1534.264,0.4308
"cvdp_agentic_DES_0003","cid004","medium","fail",482.77,"completed",29,"Submitted","fail",1747.445,"completed",-1264.675,0.2763
"cvdp_agentic_DES_0005","cid005","medium","fail",368.886,"completed",60,"LimitsExceeded","fail",477.996,"completed",-109.11,0.7717
"cvdp_agentic_DES_0007","cid005","medium","fail",1443.26,"completed",60,"LimitsExceeded","fail",2933.811,"completed_no_patch",-1490.55,0.4919
"cvdp_agentic_Min_Hamming_Distance_Finder_0001","cid005","medium","pass",210.383,"completed",51,"Submitted","fail",111.757,"completed",98.626,1.8825
"cvdp_agentic_PCIe_endpoint_0001","cid003","medium","pass",50.178,"completed",15,"Submitted","pass",494.532,"completed",-444.354,0.1015
"cvdp_agentic_arithmetic_progression_generator_0001","cid016","easy","fail",36.254,"completed",34,"Submitted","fail",198.614,"completed",-162.36,0.1825
"cvdp_agentic_async_fifo_compute_ram_application_0001","cid003","medium","fail",15.583,"completed",20,"Submitted","fail",733.027,"completed",-717.444,0.0213
"cvdp_agentic_async_fifo_compute_ram_application_0006","cid005","hard","pass",12.979,"completed",19,"Submitted","fail",214.386,"completed",-201.407,0.0605
"cvdp_agentic_async_filo_0001","cid003","medium","pass",316.494,"completed",60,"LimitsExceeded","fail",131.466,"completed",185.028,2.4074
"cvdp_agentic_axi4lite_to_pcie_config_0003","cid004","medium","pass",234.727,"completed",60,"LimitsExceeded","fail",460.293,"completed",-225.566,0.51
"cvdp_agentic_axis_broadcaster_0001","cid016","easy","fail",520.289,"completed",60,"LimitsExceeded","fail",2150.105,"completed",-1629.816,0.242
"cvdp_agentic_axis_to_uart_0001","cid003","medium","fail",3600.198,"timeout","","timeout","pass",383.592,"completed",3216.606,9.3855
"cvdp_agentic_axis_to_uart_0004","cid003","medium","fail",509.866,"completed",60,"LimitsExceeded","fail",488.323,"completed",21.543,1.0441
"cvdp_agentic_barrel_shifter_0001","cid016","easy","pass",4.87,"completed",8,"Submitted","pass",42.813,"completed",-37.943,0.1137
"cvdp_agentic_barrel_shifter_0002","cid004","easy","fail",513.465,"completed",60,"LimitsExceeded","pass",215.827,"completed",297.639,2.3791
"cvdp_agentic_bcd_adder_0004","cid004","medium","pass",22.338,"completed",21,"Submitted","pass",1300.685,"completed",-1278.347,0.0172
"cvdp_agentic_binary_search_tree_algorithms_0001","cid004","medium","fail",1953.679,"completed",60,"LimitsExceeded","fail",1121.907,"completed",831.772,1.7414
"cvdp_agentic_binary_search_tree_algorithms_0014","cid005","hard","fail",326.732,"completed",60,"LimitsExceeded","fail",775.799,"completed",-449.067,0.4212
"cvdp_agentic_binary_to_gray_0003","cid003","easy","pass",5.37,"completed",13,"Submitted","pass",30.7,"completed",-25.33,0.1749
"cvdp_agentic_byte_enable_ram_0002","cid003","medium","fail",30.497,"completed",20,"Submitted","pass",163.77,"completed",-133.273,0.1862
"cvdp_agentic_cache_controller_0001","cid003","medium","fail",1457.321,"completed",60,"LimitsExceeded","fail",170.862,"completed",1286.459,8.5292
"cvdp_agentic_caesar_cipher_0001","cid016","easy","pass",5.321,"completed",11,"Submitted","pass",36.36,"completed",-31.039,0.1463
"cvdp_agentic_cellular_automata_0002","cid003","easy","pass",27.446,"completed",26,"Submitted","pass",351.242,"completed",-323.795,0.0781
"cvdp_agentic_cic_decimator_0001","cid003","easy","fail",831.478,"completed",60,"LimitsExceeded","fail",698.906,"completed",132.571,1.1897
"cvdp_agentic_cipher_0001","cid003","medium","pass",34.951,"completed",32,"Submitted","fail",350.792,"completed",-315.841,0.0996
"cvdp_agentic_cont_adder_0001","cid003","medium","pass",14.683,"completed",14,"Submitted","pass",69.747,"completed",-55.064,0.2105
"cvdp_agentic_csr_using_apb_interface_0001","cid003","medium","fail",247.132,"completed",60,"LimitsExceeded","fail",302.582,"completed",-55.45,0.8167
"cvdp_agentic_custom_fifo_0004","cid016","medium","fail",686.33,"completed",60,"LimitsExceeded","fail",1063.685,"completed",-377.355,0.6452
